Start_Lat,Start_Lng,Start_Time,Severity
38.362831,-122.267197,2016-12-09 05:25:36,2
34.022625,-118.156616,2016-07-12 10:55:04,2
38.25462,-122.335907,2016-06-06 11:20:16,2
38.00307100000001,-121.337051,2016-12-17 09:25:08,2
37.403236,-122.046913,2016-11-04 11:01:44,2
37.927975,-122.322876,2016-11-01 12:08:08,3
37.905491,-122.069656,2016-07-06 12:23:19,3
37.741356,-121.580826,2016-05-02 10:30:54,3
34.20742,-118.217354,2016-06-21 14:06:41,3
38.11861,-122.285324,2016-08-31 10:16:02,2
37.690422,-122.135468,2017-01-09 00:30:47,3
37.741356,-121.580826,2016-04-04 13:54:31,3
38.55249,-121.694313,2017-01-19 11:16:05,3
34.054878,-118.257164,2016-06-30 15:39:58,2
38.662716,-120.937653,2016-11-10 09:54:29,2
38.216373,-122.603455,2016-12-16 13:51:22,2
34.021053,-118.195251,2016-07-05 19:21:25,3
37.711575,-122.12738799999998,2016-09-06 18:36:14,3
39.465603,-121.521286,2016-08-13 00:26:43,2
38.574345,-121.401512,2016-12-15 21:55:53,2
37.710648,-122.166687,2016-10-20 02:15:30,3
37.789589,-121.546715,2016-10-23 13:55:46,2
37.701515,-122.021149,2016-07-24 01:18:13,3
37.80814,-122.367226,2016-04-27 10:01:32,3
37.383713,-121.969505,2017-01-23 08:03:57,2
37.363445,-121.897217,2016-06-09 20:28:59,3
37.393295,-121.919548,2016-09-14 21:15:28,2
37.588879,-121.871056,2016-07-16 10:42:19,3
38.005569,-122.082512,2016-11-30 09:35:58,3
36.540611,-121.912491,2016-10-24 15:26:25,2
38.692078,-121.262352,2016-09-20 17:12:04,2
37.782742,-122.395515,2016-03-30 12:42:22,3
38.56031,-121.457298,2016-10-04 20:38:14,2
38.652042,-122.599777,2016-11-06 15:58:02,2
38.276428,-122.047279,2016-05-09 19:40:33,3
37.811298,-121.992989,2016-12-24 23:37:41,3
34.322731,-117.39843799999998,2016-07-05 10:03:59,2
38.622662,-122.878296,2016-04-18 16:01:30,2
37.215031,-121.988029,2016-05-21 19:35:30,2
37.920368,-122.50959,2016-06-16 20:52:12,2
38.74410200000001,-121.270569,2016-11-29 00:56:46,3
38.743469,-121.170799,2016-04-04 12:47:50,2
33.913585999999995,-118.361275,2016-07-04 17:36:01,2
37.794292,-122.206039,2016-12-10 16:17:33,3
33.813431,-118.167686,2016-06-22 14:23:00,3
34.067459,-117.583717,2016-06-23 21:45:47,3
37.377357,-121.945442,2016-03-30 13:23:33,2
38.638889,-121.327972,2016-10-12 10:43:32,2
38.21200200000001,-122.549248,2016-05-30 12:41:59,2
38.697781,-121.40136,2016-10-10 12:27:34,2
38.609013,-121.270859,2017-01-21 18:39:39,2
